"","mRNA_wt_rep1","mRNA_wt_rep2","mRNA_mt_rep1","mRNA_mt_rep2","Ribo_wt_rep1","Ribo_wt_rep2","Ribo_mt_rep1","Ribo_mt_rep2","gene_length"
"YPL252C",454,318,190,189,1924,1778,634,567,459
"YPL250C",771,473,378,462,2029,2068,886,1398,351
"YPL249C-A",5073,3448,3846,3134,32301,27821,18205,17322,481
"YPL249C",666,579,244,281,2338,2402,453,520,2625
"YPL248C",83,53,12,9,57,35,9,7,2586
"YPL247C",698,623,529,852,1753,1841,762,1398,1512
"YPL246C",842,450,491,374,2283,1956,1032,914,729
"YPL244C",757,475,270,194,595,549,126,147,960
"YPL242C",1705,1201,963,607,1054,930,276,200,4428
"YPL241C",77,34,69,25,91,47,45,51,827
"YPL240C",55187,45787,2645,3279,284304,285810,4885,5937,2070
"YPL236C",441,272,382,324,251,257,213,233,1035
"YPL234C",1114,713,1001,552,4658,3548,2181,2011,435
"YPL227C",735,396,350,198,829,699,241,200,945
"YPL224C",612,490,392,398,1086,1084,322,358,1395
"YPL223C",188,175,218,204,1071,1225,844,1030,447
"YPL222C-A",32,7,9,20,1,0,0,3,186
"YPL217C",1394,1089,830,696,2669,2266,777,495,3492
"YPL214C",598,480,539,379,957,953,428,467,1563
"YPL212C",818,644,501,499,2201,2029,867,673,1575
"YPL210C",2204,1657,1388,923,3356,3442,894,767,1863
"YPL209C",140,94,90,60,312,320,114,90,1044
"YPL206C",786,669,630,498,2670,2747,1490,1417,906
"YPL205C",5,3,4,7,14,7,9,14,285
"YPL202C",755,460,370,377,1217,1306,434,502,1191
"YPL199C",611,437,461,317,2381,2047,1020,964,663
"YPL197C",3,3,4,4,1,0,2,4,354
"YPL192C",36,38,27,21,10,8,6,3,342
"YPL191C",484,391,321,294,581,581,217,275,1023
"YPL190C",2114,1500,757,594,5161,4897,881,717,2349
"YPL189C-A",377,236,697,534,873,894,1115,1594,147
"YPL186C",325,326,212,353,1364,1702,467,1081,855
"YPL184C",2128,1247,1061,691,2507,2417,597,481,1779
"YPL183C",1634,1062,1209,758,1561,1361,683,540,2982
"YPL177C",1556,1066,1483,1340,3956,3758,2352,2567,861
"YPL176C",1248,868,801,829,1902,1808,680,765,2292
"YPL174C",637,456,512,307,89,120,47,53,2547
"YPL172C",609,353,175,144,539,401,138,144,1329
"YPL171C",58,46,20,15,60,54,21,20,1143
"YPL169C",1504,1004,750,595,3707,3683,1048,920,1740
"YPL167C",732,463,509,431,112,136,66,116,4455
"YPL165C",0,0,0,0,0,0,0,0,1062
"YPL164C",365,244,171,174,239,274,93,131,2088
"YPL163C",933,456,199,113,4168,2812,409,213,723
"YPL162C",480,314,313,234,490,372,265,286,762
"YPL161C",418,301,186,136,695,581,184,196,1842
"YPL159C",366,286,326,305,1117,1309,709,811,702
"YPL158C",830,587,450,386,1651,1851,664,741,2217
