"","mRNA_wt_rep1","mRNA_wt_rep2","mRNA_mt_rep1","mRNA_mt_rep2","Ribo_wt_rep1","Ribo_wt_rep2","Ribo_mt_rep1","Ribo_mt_rep2","gene_length"
"YAL067C",81,79,51,42,18,17,18,9,1722
"YAL063C-A",260,157,146,117,69,69,82,85,231
"YAL063C",20223,13117,7004,6526,59891,48272,6333,5482,3909
"YAL054C",402,316,245,208,296,587,66,79,2082
"YAL049C",1182,786,640,520,4327,4172,1321,1401,681
"YAL047C",298,244,160,135,454,444,139,140,1809
"YAL046C",268,223,143,118,1424,1314,676,551,297
"YAL044C",2660,1596,2026,1683,18452,15921,9021,7555,453
"YAL043C",1119,708,634,524,2578,2291,817,823,2298
"YAL040C",1626,971,1099,870,909,809,500,428,1683
"YAL039C",435,285,134,183,3134,3088,500,555,750
"YAL037C-A",2,3,2,1,5,2,3,0,33
"YAL036C",1136,776,527,381,4131,3403,1138,906,1050
"YAL034C-B",0,0,2,2,1,0,2,1,294
"YAL034C",392,373,375,389,658,715,392,770,1182
"YAL032C",172,146,74,68,558,483,133,146,1080
"YAL031C",475,382,338,303,760,730,414,426,2223
"YAL029C",1788,1259,1130,848,1308,1264,327,252,4356
"YAL026C-A",115,89,62,40,45,41,8,9,378
"YAL026C",1690,1199,835,530,1542,1506,440,371,4008
"YAL025C",520,392,467,274,1985,1873,841,693,861
"YAL024C",623,369,285,202,389,357,102,91,4248
"YAL023C",6456,3881,1106,918,11186,9776,945,688,2220
"YAL022C",386,228,187,186,823,745,267,262,1494
"YAL021C",1286,771,530,516,3675,3544,860,687,2454
"YAL020C",144,89,93,99,368,322,197,160,942
"YAL018C",11,2,7,2,21,17,6,9,918
"YAL015C",215,196,206,159,543,524,275,319,1140
"YAL014C",448,290,236,162,1019,1140,360,342,708
"YAL010C",322,289,199,159,559,592,226,271,1422
"YAL007C",1375,876,381,188,3633,3407,620,604,588
"YAL005C",134878,90871,5623,6316,794994,712852,12536,15697,1869
"YAL001C",1069,786,712,620,1187,1278,520,552,3513
"YAR002C-A",1943,1238,582,333,5454,4477,1133,856,600
"YAR007C",1463,1078,475,344,6147,5635,821,679,1806
"YAR014C",1138,808,741,604,1583,1382,512,385,2070
"YAR018C",300,198,174,107,462,512,209,166,1248
"YAR019C",648,439,370,403,393,378,165,158,2865
"YAR023C",250,142,179,153,132,122,122,205,480
"YAR047C",176,101,195,104,16,10,5,4,261
"YAL066W",9,3,4,4,1,0,0,1,249
"YAL064W-B",277,158,156,133,45,38,27,47,321
"YAL062W",86,61,63,51,230,230,62,49,1314
"YAL061W",365,337,141,365,1273,1297,414,1088,1194
"YAL060W",3837,3070,1786,2137,15751,16308,2555,3707,1089
"YAL059W",249,175,182,145,685,603,347,278,579
"YAL058W",530,397,254,270,749,660,240,264,1449
"YAL056W",1070,751,739,607,494,509,300,331,2583
"YAL055W",101,107,110,75,405,379,174,209,483
"YAL053W",2838,1918,1874,1615,4779,4510,1881,1936,2292
"YAL051W",1196,784,656,555,1442,1585,417,489,3084
"YAL047W-A",3,1,14,1,1,0,1,1,270
"YAL044W-A",264,171,189,137,1319,1255,508,492,273
"YAL042W",1196,820,472,392,3996,3390,833,760,1188
"YAL041W",1353,940,819,737,2153,1922,717,592,2505
"YAL038W",86600,52648,15736,13145,323673,292323,35586,27117,1443
"YAL037W",73,51,38,20,34,36,8,11,744
"YAL035W",4613,3407,1870,1536,18277,16495,3328,2349,2949
"YAL034W-A",167,124,90,87,405,405,98,109,810
"YAL033W",244,152,142,108,868,748,281,285,462
"YAL030W",382,204,259,200,2709,2597,1420,1433,407
"YAL028W",153,114,141,158,214,205,137,178,1527
"YAL027W",81,68,42,54,289,339,152,203,726
"YAL019W",918,666,456,417,2002,1787,342,286,3336
"YAL017W",1535,1249,920,1026,2227,2280,802,951,4011
"YAL016W",2381,1761,1489,1138,7446,7078,1937,2052,1848
"YAL013W",367,349,177,185,1573,1683,617,584,1158
"YAL012W",2465,1412,810,763,16590,13964,3006,2635,1125
"YAL011W",258,193,125,140,418,417,134,123,1818
"YAL009W",265,205,198,144,286,250,122,118,720
"YAL008W",541,479,432,338,3040,2971,1272,1519,537
"YAL004W",164,203,145,119,19,32,64,94,588
"YAL003W",11592,7287,3809,2864,62503,48925,10863,8399,927
"YAL002W",1367,958,769,672,585,515,165,167,3765
"YAR002W",1087,788,642,477,3891,3578,1091,1030,1560
"YAR003W",802,529,528,374,767,632,230,308,1221
"YAR008W",194,130,57,49,311,248,59,59,768
"YAR015W",1262,867,686,622,3969,3423,1473,1379,861
"YAR019W-A",120,99,105,83,85,87,88,98,273
"YAR027W",984,702,945,697,2157,2380,1068,1567,648
"YAR028W",300,232,387,271,477,464,385,434,645
"YAR029W",127,100,164,170,1,1,0,6,165
"YAR031W",156,147,125,137,428,369,133,133,837
"YAR033W",189,97,103,84,321,332,151,154,645
"YAR035W",144,62,115,95,223,254,134,151,2004
"YAR042W",1880,1309,659,647,2616,2515,441,418,3507
"YAR050W",35657,20978,11207,10506,83276,65927,9335,8495,4554
"YAR053W",18,20,8,3,8,14,7,16,237
"YAR071W",472,332,253,289,337,282,42,23,1344
"YBL113C",5116,2933,2262,2007,526,490,115,94,2319
"YBL107C",226,205,112,67,1087,1046,279,262,531
"YBL106C",280,181,138,112,113,94,18,9,2973
"YBL105C",1384,1000,810,726,1788,1828,571,466,3396
"YBL104C",796,535,377,344,646,593,208,200,3057
"YBL103C",453,321,365,273,1129,1055,362,377,1401
"YBL101C",1486,1103,655,790,2309,2456,630,742,3294
"YBL093C",485,399,321,299,2152,2150,683,722,603
"YBL091C-A",241,162,113,116,746,651,303,333,556
"YBL091C",1035,761,505,484,4601,3981,1487,1443,1206
"YBL088C",1874,1215,1179,941,205,223,74,54,8304
"YBL087C",4426,2750,3176,2253,22802,16291,9971,8025,858
"YBL086C",307,228,210,299,1266,1335,571,839,1341
"YBL084C",755,541,556,469,589,595,329,343,2217
"YBL080C",340,228,174,189,536,559,159,145,1566
"YBL078C",402,444,423,488,1513,1691,935,1329,294
"YBL076C",9715,5963,4312,2845,14713,12237,3189,2158,3159
"YBL075C",2892,2974,414,514,13280,17095,174,261,1890
"YBL074C",368,278,243,246,494,440,190,229,1008
"YBL072C",17054,10335,12459,8965,67917,51986,28327,21959,543
"YBL071C",7,5,6,2,7,6,5,1,249
"YBL070C",28,21,24,15,8,12,16,24,261
"YBL067C",1092,813,566,396,983,973,303,315,2184
"YBL066C",851,568,484,409,476,420,180,153,3387
"YBL064C",2121,1601,768,707,9075,10024,1893,2206,726
"YBL061C",1097,762,684,683,1948,1974,811,851,2031
"YBL059C-A",407,276,224,134,1187,1218,338,308,355
"YBL057C",450,334,212,167,1266,1254,441,421,567
"YBL055C",685,481,449,375,1057,956,333,348,1197
"YBL052C",664,433,463,266,241,194,117,116,2436
"YBL051C",1690,1179,638,634,4202,3894,830,878,1947
"YBL047C",6429,4676,2136,2131,27104,26768,2848,2850,4086
"YBL045C",2351,1568,1757,1539,9629,9093,3754,3836,1314
"YBL042C",1582,975,807,393,1840,1429,348,222,1860
"YBL040C",1295,982,712,446,3480,3186,903,907,697
"YBL039C",2121,1276,1251,673,3626,2333,847,442,1680
"YBL036C",866,598,567,337,1843,1879,639,567,714
"YBL035C",617,446,219,158,1701,1238,263,192,2058
"YBL034C",1067,677,549,380,1131,965,211,148,4482
"YBL033C",758,554,213,244,3571,3677,742,722,978
"YBL030C",6971,5168,2891,2131,26921,22440,5761,4417,897
"YBL029C-A",230,185,239,217,1078,1007,701,1051,225
"YBL028C",415,343,375,163,1141,1105,522,443,261
"YBL023C",1116,791,430,295,2000,1864,362,242,2547
"YBL022C",4274,3352,921,834,12726,12161,1117,882,3342
"YBL021C",164,135,93,86,774,682,230,244,375
"YBL018C",202,121,85,35,408,337,159,119,417
"YBL017C",4086,2790,1887,1541,5356,4857,510,394,4680
"YBL014C",662,419,394,272,114,74,51,37,2625
"YBL010C",216,139,124,98,426,408,175,152,783
"YBL007C",4332,2600,1623,1521,10651,7634,1935,1991,3675
"YBL006C",611,366,407,376,1554,1352,707,724,483
"YBL003C",1642,1241,1687,1297,4914,4234,3685,4025,339
"YBL001C",882,773,782,555,5931,5451,3399,3477,255
"YBR001C",1705,1349,997,1033,2427,2559,717,899,2283
"YBR002C",467,361,249,182,593,596,287,246,801
"YBR004C",771,477,564,354,706,656,332,325,1242
"YBR007C",597,393,275,302,711,658,215,245,2151
"YBR008C",381,265,283,184,36,36,67,95,1587
"YBR009C",1701,1259,2600,2338,5839,4443,4088,5059,252
"YBR011C",7288,4807,2453,1907,35955,33564,8581,6751,804
"YBR012C",213,186,63,31,251,299,20,25,360
"YBR013C",340,221,248,186,966,839,698,785,330
"YBR014C",712,506,459,410,2670,2604,895,981,552
"YBR015C",2111,1298,848,776,4138,3530,807,817,1734
"YBR017C",2276,1667,1359,1119,3688,3443,1366,1294,2697
"YBR018C",73,52,55,52,17,21,4,10,1041
"YBR019C",76,52,72,36,30,33,39,51,2040
"YBR023C",2923,1832,1657,1220,3158,2976,650,506,3438
"YBR025C",6700,4655,1914,1373,24017,22172,3540,3164,1125
"YBR026C",1705,1386,1006,987,7324,7946,2089,2424,1083
"YBR028C",663,422,369,255,778,707,297,282,1518
"YBR029C",1530,1136,760,506,3175,3104,671,638,1314
"YBR034C",960,610,630,453,1564,1394,665,570,987
"YBR035C",1242,941,799,649,6196,5961,2114,2272,627
"YBR036C",2340,1494,1053,1035,4099,3590,1308,1326,1173
"YBR037C",423,288,143,157,1635,1377,296,295,828
"YBR042C",596,374,296,212,784,686,257,236,1134
"YBR043C",777,544,363,337,398,362,158,177,2010
"YBR044C",537,388,261,288,597,535,168,172,1659
"YBR045C",335,314,179,162,156,144,28,21,1860
"YBR046C",721,637,415,395,2652,3135,925,1166,945
"YBR049C",1598,1257,754,668,5461,5414,1140,1029,2373
"YBR050C",35,25,4,4,59,82,9,13,957
"YBR052C",2290,1840,1172,1242,8435,8583,2700,2893,573
"YBR053C",1209,867,1007,855,3664,3618,1550,1893,1017
"YBR055C",997,706,605,522,984,864,418,357,2640
"YBR057C",491,355,318,326,1378,1318,545,608,1041
"YBR058C",1113,809,554,469,2199,2132,772,743,2286
"YBR058C-A",413,271,383,233,2148,2018,975,1207,183
"YBR059C",1975,1589,1127,1178,4111,4025,1274,1345,3267
"YBR060C",716,470,314,341,1148,1215,394,387,1803
"YBR061C",443,246,263,175,1058,867,392,293,873
"YBR062C",464,333,187,188,1882,2020,413,466,565
"YBR063C",552,406,418,358,5,2,4,10,1155
"YBR065C",405,284,310,232,736,722,378,314,1035
"YBR066C",550,408,266,262,1741,1591,422,646,603
"YBR067C",5426,3658,1610,1669,25531,26872,5786,6430,573
"YBR068C",2850,1976,1941,1497,2785,2606,939,950,1770
"YBR069C",1902,1100,669,351,1567,1603,266,190,1800
"YBR070C",365,254,182,143,772,614,255,255,654
"YBR072C-A",4,5,1,1,1,4,4,2,102
"YBR076C-A",124,91,95,64,42,36,35,66,207
"YBR077C",510,362,403,300,1661,1600,852,1023,429
"YBR079C",4600,3118,2510,2111,10083,9107,2770,2295,2835
"YBR080C",2203,1719,811,738,6859,6330,1564,1536,2217
"YBR081C",1172,906,682,586,1046,1057,318,289,3939
"YBR082C",4157,3025,1608,1312,27139,27117,5240,5864,482
"YBR084C-A",7599,5292,6284,4900,40851,32954,21180,17003,1016
"YBR085C-A",4027,3453,4429,3221,14458,15366,7952,9946,198
"YBR086C",4683,2951,2364,1761,4402,4311,1400,1448,2781
"YBR088C",1331,782,335,205,3829,2777,574,448,717
"YBR089C-A",927,785,731,565,5069,5990,1986,2160,240
"YBR091C",225,161,100,75,897,779,225,147,270
"YBR092C",2620,1515,1113,612,5267,4094,1583,824,1344
"YBR093C",464,319,203,133,860,733,207,75,1344
"YBR095C",525,438,289,247,969,1040,352,324,1233
"YBR099C",173,100,37,32,10,9,2,2,324
"YBR101C",1787,1364,399,413,8532,8165,754,824,813
"YBR102C",685,532,434,319,1566,1534,478,470,2202
"YBR103C-A",0,1,0,0,0,0,0,0,84
"YBR105C",332,271,134,110,667,924,213,168,1029
"YBR107C",107,80,143,120,129,102,111,153,678
"YBR109C",2616,1760,1729,1134,12350,10780,4447,4209,384
"YBR111C",1346,1029,891,651,7154,7048,2442,2548,636
"YBR112C",1708,1228,783,755,4763,4602,902,711,2841
"YBR115C",4664,2744,1654,1182,9383,7186,1473,902,4119
"YBR120C",308,236,155,124,1265,1350,366,353,429
"YBR121C",4423,3104,2480,1631,9356,8003,2754,1902,1944
"YBR122C",788,571,404,298,2248,2019,498,508,474
"YBR123C",445,338,279,251,1053,884,359,404,1890
"YBR125C",567,437,266,204,756,719,283,297,1122
"YBR126C",8360,6770,3510,6146,55318,58884,12118,19727,1428
"YBR127C",6666,4798,3092,2873,24336,21219,6963,6620,1494
"YBR128C",160,90,117,108,178,207,150,190,975
"YBR129C",580,412,333,204,758,753,246,239,927
"YBR130C",712,522,432,334,1435,1191,413,365,1218
"YBR132C",1122,801,613,598,1637,1630,571,707,1731
"YBR133C",1448,867,817,644,1195,1063,611,575,2424
"YBR138C",274,214,181,151,519,525,177,167,1515
"YBR140C",4499,2770,2305,1631,1074,1092,242,156,9219
"YBR141C",122,108,67,51,314,317,146,117,954
"YBR143C",3795,2737,2640,1554,7919,7033,2392,1957,1254
"YBR144C",6,2,2,2,0,1,0,2,255
"YBR150C",877,680,508,416,740,807,117,131,3225
"YBR154C",1336,955,985,755,5222,5006,2006,1919,588
"YBR156C",312,230,213,157,593,537,209,227,2037
"YBR157C",343,250,190,160,767,782,121,106,708
"YBR162C",5013,2739,2503,1239,8099,5868,2460,1580,1308
"YBR164C",792,643,538,444,2043,1926,962,1005,492
"YBR166C",1022,752,753,450,1901,1819,748,702,1299
"YBR167C",138,112,125,92,363,485,158,140,363
"YBR169C",3834,3078,1493,1853,12963,14032,2391,3339,2022
"YBR170C",1142,962,419,422,3624,3839,761,1014,1683
"YBR172C",1425,1041,925,799,2348,2241,1017,831,2163
"YBR173C",1012,739,472,401,5575,5966,1572,1616,387
"YBR174C",23,6,7,6,9,4,6,16,255
"YBR177C",1346,956,1032,1190,4492,4256,2199,2552,1296
"YBR179C",1032,770,483,457,1233,1314,359,361,2508
"YBR181C",13879,9819,12199,9237,71568,55961,33346,25497,1003
"YBR182C",230,191,165,222,230,239,144,148,1299
"YBR182C-A",16,7,33,28,15,20,17,12,135
"YBR185C",535,302,204,136,1552,1534,277,298,777
"YBR188C",188,189,178,144,742,727,317,314,363
"YBR193C",432,321,309,248,1046,1033,511,593,612
"YBR195C",327,202,178,137,479,524,231,199,1209
"YBR196C",22303,14524,7805,5568,73576,64118,11580,9750,1605
"YBR197C",302,178,157,162,572,555,263,278,594
"YBR198C",1196,907,683,516,2508,2424,666,698,2337
"YBR201C-A",38,29,61,29,66,60,111,117,144
"YBR204C",595,468,335,384,1190,1169,637,681,1068
"YBR208C",1032,778,497,475,692,616,303,417,5448
"YBR211C",329,228,230,184,490,482,273,262,915
"YBR216C",927,714,793,596,1204,1313,615,633,1965
"YBR218C",4764,3139,1668,1658,7013,6251,1212,962,3483
"YBR221C",3944,2469,1448,1069,13695,11491,3418,3202,1041
"YBR222C",1289,896,492,510,4767,4720,773,725,1572
"YBR223C",311,241,164,172,229,227,64,56,1575
"YBR229C",1308,789,425,316,2172,2172,315,280,2805
"YBR230C",1040,782,698,658,6497,7234,2807,3549,442
"YBR231C",321,248,116,99,1390,1248,320,328,852
"YBR234C",2297,1549,1250,1001,7104,6561,2760,2922,1095
"YBR236C",758,476,541,406,1553,1561,547,632,1251
"YBR238C",937,534,560,429,860,791,356,314,2136
"YBR239C",481,299,270,192,589,571,279,286,1530
"YBR240C",182,147,136,112,248,267,108,141,1293
"YBR241C",684,417,410,448,1758,1803,819,935,1407
"YBR243C",949,567,219,162,1430,1241,160,123,1287
"YBR245C",1576,1176,536,466,4696,4149,904,836,3330
"YBR247C",799,522,437,315,1695,1543,560,435,1392
"YBR248C",1381,982,618,528,3802,3430,961,774,1599
"YBR249C",2644,1578,1200,848,10319,8259,2408,2056,1053
"YBR254C",201,203,156,112,808,696,331,362,468
"YBR255C-A",123,77,40,22,337,351,82,73,397
"YBR256C",692,587,504,428,1842,1854,779,893,657
"YBR258C",105,130,122,123,279,281,166,157,369
"YBR260C",846,547,398,373,1647,1602,427,423,1941
"YBR261C",397,311,189,172,2176,1709,626,542,639
"YBR262C",343,290,194,140,973,879,301,332,261
"YBR264C",182,180,169,174,766,616,404,454,540
"YBR269C",665,457,393,381,3553,3493,1360,1677,357
"YBR270C",239,182,174,179,189,196,131,177,1578
"YBR272C",823,664,648,576,1175,1181,523,698,1383
"YBR273C",741,605,454,471,3738,3776,1274,1520,1251
"YBR275C",1278,731,479,262,689,560,132,79,5691
"YBR276C",1048,660,605,434,352,336,209,209,2364
"YBR277C",3,1,0,1,2,0,2,2,342
"YBR280C",502,354,340,432,771,934,391,656,1854
"YBR281C",1033,687,478,330,1298,1045,242,245,2577
"YBR283C",3569,2355,1994,1150,6035,5428,2105,1842,1413
"YBR288C",795,616,628,460,1368,1403,638,615,1392
"YBR291C",607,382,320,185,1267,885,247,200,840
"YBR292C",226,162,142,62,243,253,117,114,312
"YBR296C",53,25,34,21,46,36,30,26,1665
"YBR298C",86,53,30,43,20,27,8,12,1785
"YBL102W",868,604,641,428,2531,2333,1121,1167,588
"YBL100W-C",1,0,2,3,15,18,6,8,60
"YBL099W",6237,4250,2673,2262,24315,19962,6710,5717,1578
"YBL098W",380,233,235,154,778,802,185,146,1323
"YBL097W",380,265,133,118,326,334,82,77,2205
"YBL095W",270,216,164,148,238,273,142,190,753
"YBL092W",9690,5715,7181,4898,53809,47753,26309,23672,333
"YBL090W",380,295,262,181,1692,1739,494,467,474
"YBL089W",578,364,344,229,569,507,208,191,1320
"YBL085W",974,661,525,388,1944,1752,368,362,2883
"YBL081W",531,302,325,228,1201,1178,643,600,1047
"YBL079W",3207,1921,1591,1083,1873,1796,609,624,4449
"YBL071W-A",433,388,336,225,1256,1185,796,743,189
"YBL068W",590,453,446,298,1245,1061,521,428,921
"YBL063W",625,370,148,77,511,505,59,36,3276
"YBL060W",501,391,344,294,585,572,200,190,2004
"YBL059W",157,101,68,66,358,404,152,170,591
"YBL058W",1990,1466,885,963,10128,9428,1921,2052,1212
"YBL056W",2669,1888,1346,1024,3706,3625,986,1004,1347
"YBL054W",498,316,279,215,896,660,376,253,1518
"YBL050W",1169,976,543,533,5750,5732,1087,1327,935
"YBL048W",70,69,58,29,6,5,2,3,252
"YBL046W",309,223,176,188,701,571,234,205,1266
"YBL043W",35,38,62,39,49,55,32,53,714
"YBL041W",2001,1458,776,603,8856,8887,1643,1567,666
"YBL039W-B",233,140,154,97,270,290,155,229,120
"YBL038W",542,447,295,233,2431,2360,687,727,639
"YBL037W",1191,825,500,446,1393,1358,355,345,3018
"YBL032W",852,463,254,222,3144,2713,511,457,1086
"YBL031W",198,124,82,51,354,314,104,109,957
"YBL029W",65,57,88,85,130,143,144,181,1071
"YBL027W",9092,6284,7497,5981,46610,38222,25620,21179,894
"YBL026W",622,440,380,239,1428,1428,799,822,356
"YBL025W",267,188,169,136,400,382,132,172,378
"YBL024W",1773,1307,911,736,4659,4327,1399,1042,1995
"YBL020W",938,566,438,292,577,463,134,120,1665
"YBL019W",329,320,274,230,362,363,195,235,1503
"YBL016W",733,455,418,393,2140,2027,905,837,1002
"YBL015W",839,523,299,305,2533,2438,468,585,1521
"YBL011W",1524,1122,659,636,1461,1395,391,345,2220
"YBL009W",696,410,282,143,1265,967,247,146,1971
"YBL008W",700,513,235,161,859,743,155,118,2463
"YBL005W",833,558,574,448,660,627,309,300,2871
"YBL004W",5082,2974,3071,1628,2389,1906,564,319,7422
"YBL002W",1678,1072,1570,1068,6394,5918,4153,4473,336
"YBR003W",1077,675,348,378,1958,1735,448,475,1362
"YBR005W",308,223,308,342,651,621,497,640,582
"YBR006W",631,510,345,332,1693,1903,406,526,1434
"YBR010W",3085,2051,4182,3215,11435,9745,8870,11162,351
"YBR016W",938,614,565,549,6470,6489,2366,2720,327
"YBR020W",155,103,107,85,3,2,4,16,1527
"YBR021W",1032,734,990,564,751,750,317,251,1842
"YBR022W",361,286,237,151,1036,1048,370,367,474
"YBR024W",379,292,228,220,1067,1044,397,475,846
"YBR030W",473,301,295,256,309,270,123,92,1599
"YBR031W",17087,10661,11187,8921,107989,79522,45626,33296,1029
"YBR033W",117,93,41,55,141,159,21,43,2700
"YBR038W",1409,792,426,252,2121,1663,396,256,2832
"YBR039W",1789,1291,829,644,8076,7677,2091,2000,876
"YBR041W",1391,1065,707,634,2045,1835,609,731,1950
"YBR047W",124,103,68,63,259,365,126,175,468
"YBR048W",6479,4250,4595,3216,35453,29924,14096,11854,922
"YBR051W",4,5,3,1,4,8,3,3,291
"YBR054W",6256,4158,3816,2555,10085,9640,3540,4452,975
"YBR056W",1804,1458,1388,1256,4236,4722,1679,2024,1446
"YBR056W-A",246,162,168,86,422,379,210,239,141
"YBR071W",870,594,298,214,3056,2948,579,663,576
"YBR072W",16591,13830,2034,2785,93909,109396,5143,7933,585
"YBR073W",1644,1058,804,656,2270,2022,641,580,2817
"YBR074W",1944,1177,1077,764,2105,1956,733,685,2871
"YBR076W",40,30,12,40,71,63,29,82,1005
"YBR078W",16375,9016,6590,3612,50815,38536,12388,10009,1560
"YBR083W",1402,908,937,738,3766,3861,1659,1413,1401
"YBR084W",2385,1349,1072,760,4021,2761,870,561,2868
"YBR085W",106,83,59,63,287,230,85,40,864
"YBR087W",656,464,367,276,1172,1072,476,433,1005
"YBR094W",743,522,433,375,1072,1076,338,315,2202
"YBR096W",1212,911,736,481,3197,2646,1214,1245,633
"YBR097W",1301,950,902,624,545,645,246,229,4305
"YBR098W",293,218,170,110,406,337,118,86,2016
"YBR103W",463,342,344,316,732,764,404,449,1548
"YBR104W",458,323,264,125,813,758,304,222,930
"YBR106W",3565,2315,865,514,11698,10555,1590,1230,507
"YBR108W",695,468,273,311,2859,2841,700,867,2784
"YBR110W",904,761,606,485,1320,1232,529,482,1290
"YBR111W-A",366,212,207,171,931,1000,468,443,381
"YBR114W",772,547,521,557,1154,987,447,558,2313
"YBR118W",154911,98390,61555,48975,694684,568303,183230,131767,1317
"YBR119W",379,264,236,215,1007,1188,429,551,926
"YBR131W",487,376,260,192,419,436,160,188,2055
"YBR135W",619,360,262,197,2955,2573,867,817,393
"YBR136W",1597,978,774,635,501,443,144,138,7047
"YBR137W",802,641,564,483,4046,4105,1461,1485,480
"YBR139W",2236,1795,1314,1268,6870,6766,2342,3173,1467
"YBR141W-A",68,49,39,21,31,41,25,35,36
"YBR142W",849,627,620,407,1587,1648,582,469,2262
"YBR145W",263,155,108,67,456,511,30,29,996
"YBR146W",989,677,485,316,1997,1918,490,479,777
"YBR147W",240,154,203,215,340,308,244,385,831
"YBR148W",74,69,42,69,175,175,81,96,1770
"YBR149W",4551,3349,2934,2706,16946,16891,6039,6608,975
"YBR151W",1114,765,857,673,1994,1929,614,708,891
"YBR152W",106,83,61,52,366,337,168,159,816
"YBR153W",339,208,208,192,292,232,201,210,675
"YBR155W",404,277,158,132,1531,1431,269,264,1098
"YBR158W",4115,2698,3934,2832,1745,1807,1313,1388,1590
"YBR159W",1450,986,809,553,2969,2590,791,709,984
"YBR160W",1035,652,554,562,3350,3045,1235,1319,837
"YBR161W",455,361,370,349,655,597,302,424,1071
"YBR162W-A",471,353,274,156,2402,2289,841,783,138
"YBR163W",613,405,342,233,157,130,87,108,1698
"YBR165W",423,282,378,247,744,687,419,440,774
"YBR168W",554,344,380,189,313,300,188,199,1182
"YBR171W",704,552,268,183,2875,2596,517,461,561
"YBR175W",437,294,301,230,530,429,305,293,888
"YBR176W",470,322,210,131,1067,1043,293,261,879
"YBR178W",4,1,5,2,7,3,2,5,315
"YBR183W",544,336,601,624,768,787,641,1014,891
"YBR184W",122,84,73,35,100,115,51,68,1512
"YBR186W",74,34,18,36,66,92,20,37,1748
"YBR187W",1097,682,527,315,1556,1240,650,526,783
"YBR189W",7797,5144,6678,4547,44917,37200,22185,17852,941
"YBR192W",714,518,417,297,977,961,439,432,1074
"YBR194W",202,174,238,171,577,609,295,345,312
"YBR199W",2232,1595,1513,1206,3352,3398,1157,1220,1335
"YBR200W",867,637,368,283,1226,1270,284,271,1596
"YBR201W",510,363,223,157,931,1029,306,331,576
"YBR202W",1362,732,654,550,1667,1644,506,394,2478
"YBR203W",397,274,447,431,369,318,236,312,2715
"YBR205W",1169,783,342,316,2581,2050,482,426,1155
"YBR207W",1075,800,687,506,1704,1617,548,492,1338
"YBR210W",184,113,158,71,554,584,277,229,369
"YBR212W",1358,1019,772,660,5869,5604,1142,1256,1959
"YBR213W",111,88,56,37,360,325,124,183,765
"YBR214W",1462,1139,995,1574,7497,8594,3009,5526,1524
"YBR215W",459,320,210,163,1337,1264,322,300,1902
"YBR217W",231,155,163,129,251,283,119,137,501
"YBR225W",608,338,318,331,600,662,197,205,2643
"YBR228W",159,103,98,119,239,214,210,235,855
"YBR230W-A",194,185,158,129,1591,1342,760,742,141
"YBR233W",577,355,137,127,2047,2048,386,322,1182
"YBR233W-A",118,118,80,59,321,284,102,123,225
"YBR235W",1382,932,587,487,1119,1012,266,244,3303
"YBR237W",687,482,452,391,744,760,249,234,2490
"YBR242W",416,316,442,266,1238,1148,696,626,657
"YBR244W",414,254,383,180,805,834,561,437,429
"YBR246W",564,360,246,256,778,731,277,270,1104
"YBR250W",222,124,118,74,78,86,49,59,1512
"YBR251W",417,344,224,203,1413,1513,318,354,864
"YBR252W",406,324,209,137,2801,2292,630,590,384
"YBR253W",252,176,156,142,769,657,378,328,306
"YBR255W",491,340,314,317,523,555,253,270,2025
"YBR257W",211,156,176,118,396,463,195,223,780
"YBR259W",586,350,388,229,203,197,101,75,2007
"YBR263W",1752,1001,677,586,5790,4992,1145,935,1413
"YBR265W",557,341,284,217,1672,1445,748,593,903
"YBR267W",430,352,267,189,1718,1298,557,368,1122
"YBR268W",248,191,127,103,1146,1038,423,351,258
"YBR271W",315,185,139,124,427,459,174,160,1200
"YBR274W",586,413,349,226,536,576,196,189,1524
"YBR278W",218,158,159,135,444,422,158,201,546
"YBR279W",974,728,461,459,2706,3032,748,824,1278
"YBR282W",415,287,232,148,2109,2274,584,623,381
"YBR284W",313,174,126,110,193,260,35,53,2334
"YBR285W",90,104,87,76,483,836,212,342,375
"YBR286W",9214,6254,4603,4386,37433,35198,11127,10012,1554
"YBR287W",2013,1334,1403,1173,2821,2719,867,1133,1224
"YBR289W",670,453,364,342,1944,1942,601,643,2658
"YBR290W",579,499,491,379,1533,1579,618,776,906
"YBR293W",508,363,486,253,132,125,161,197,1365
"YBR294W",12,5,3,3,11,24,11,12,2520
"YBR295W",951,654,764,796,293,310,200,161,3591
"YBR297W",132,78,70,61,155,127,29,57,1347
"YBR299W",79,92,27,25,226,246,33,47,1695
"YCL064C",1484,906,4523,3563,4574,4078,9006,9258,1023
"YCL061C",529,415,204,178,686,578,134,112,3231
"YCL059C",435,302,265,204,1965,1613,483,451,891
"YCL057C-A",520,387,260,210,2938,2415,808,693,234
"YCL056C",150,104,221,157,133,130,63,64,375
"YCL052C",713,558,577,506,1175,1086,694,831,1191
"YCL050C",2036,1714,508,366,11844,11802,1131,1047,906
"YCL049C",318,260,204,189,1361,1409,596,641,879
"YCL047C",441,325,177,194,1306,1222,348,417,717
"YCL045C",1942,1306,830,621,4524,3919,1007,890,2223
"YCL044C",1221,654,233,242,3068,2813,418,428,1194
"YCL043C",19221,12407,1970,1749,109464,94789,4980,3793,1509
"YCL041C",941,620,135,124,12653,11182,1741,1823,435
"YCL038C",533,451,469,297,770,810,326,344,1527
